Team,Player 1,Player 2,Player 1 Runs,Player 1 Balls,Partnership Runs,Partnership Balls,Player 2 Runs,Player 2 Balls
Kolkata Knight Riders,SC Ganguly,BB McCullum,10,12,61,32,41,20
Kolkata Knight Riders,RT Ponting,BB McCullum,20,20,51,41,27,21
Kolkata Knight Riders,BB McCullum,DJ Hussey,45,18,60,30,12,12
Kolkata Knight Riders,BB McCullum,Mohammad Hafeez,45,14,50,17,5,3
Royal Challengers Bangalore,R Dravid,W Jaffer,2,3,4,7,1,4
Royal Challengers Bangalore,W Jaffer,V Kohli,0,2,5,7,1,5
Royal Challengers Bangalore,JH Kallis,W Jaffer,8,7,15,15,5,8
Royal Challengers Bangalore,W Jaffer,CL White,0,2,0,3,0,1
Royal Challengers Bangalore,MV Boucher,CL White,7,9,14,15,4,6
Royal Challengers Bangalore,B Akhil,CL White,0,2,0,3,0,1
Royal Challengers Bangalore,AA Noffke,CL White,1,2,5,4,2,2
Royal Challengers Bangalore,AA Noffke,P Kumar,8,8,14,13,4,5
Royal Challengers Bangalore,Z Khan,P Kumar,3,8,13,12,8,4
Royal Challengers Bangalore,SB Joshi,P Kumar,3,6,12,12,6,6
Chennai Super Kings,ML Hayden,PA Patel,9,7,26,17,15,10
Chennai Super Kings,ML Hayden,MEK Hussey,16,10,31,22,14,12
Chennai Super Kings,MEK Hussey,MS Dhoni,3,2,5,5,2,3
Chennai Super Kings,MEK Hussey,SK Raina,33,17,66,30,32,13
Chennai Super Kings,MEK Hussey,JDP Oram,24,10,39,20,13,10
Chennai Super Kings,MEK Hussey,S Badrinath,42,13,73,27,31,14
Kings XI Punjab,JR Hopes,K Goel,31,16,56,35,24,19
Kings XI Punjab,JR Hopes,KC Sangakkara,40,17,55,27,12,10
Kings XI Punjab,Yuvraj Singh,KC Sangakkara,23,13,42,24,15,11
Kings XI Punjab,SM Katich,KC Sangakkara,8,8,37,20,27,12
Kings XI Punjab,SM Katich,IK Pathan,13,9,17,14,3,5
Rajasthan Royals,YK Pathan,T Kohli,9,3,17,15,7,12
Rajasthan Royals,SR Watson,YK Pathan,9,6,10,8,1,2
Rajasthan Royals,M Kaif,SR Watson,1,6,14,15,12,9
Rajasthan Royals,DS Lehmann,M Kaif,1,2,6,8,4,6
Rajasthan Royals,M Kaif,RA Jadeja,4,7,10,17,4,10
Rajasthan Royals,M Rawat,RA Jadeja,2,4,14,10,12,6
Rajasthan Royals,RA Jadeja,D Salunkhe,13,7,22,13,7,6
Rajasthan Royals,SK Warne,D Salunkhe,14,13,17,17,3,4
Rajasthan Royals,SK Trivedi,D Salunkhe,3,7,19,17,16,10
Delhi Daredevils,G Gambhir,V Sehwag,8,6,20,10,12,4
Delhi Daredevils,G Gambhir,S Dhawan,50,40,112,81,52,41
Deccan Chargers,AC Gilchrist,Y Venugopal Rao,3,7,21,21,14,14
Deccan Chargers,VVS Laxman,AC Gilchrist,0,6,1,7,1,1
Deccan Chargers,AC Gilchrist,A Symonds,19,14,25,23,5,9
Deccan Chargers,A Symonds,RG Sharma,0,0,0,3,0,3
Deccan Chargers,A Symonds,SB Styris,3,11,11,18,6,7
Deccan Chargers,A Symonds,AS Yadav,2,7,13,17,10,10
Deccan Chargers,A Symonds,SB Bangar,22,12,33,19,9,7
Deccan Chargers,WPUJC Vaas,SB Bangar,0,1,1,2,1,1
Deccan Chargers,SB Bangar,RP Singh,4,2,5,3,1,1
Deccan Chargers,RP Singh,PP Ojha,0,1,0,1,0,0
Kolkata Knight Riders,BB McCullum,WP Saha,5,5,6,8,1,3
Kolkata Knight Riders,RT Ponting,WP Saha,0,1,10,5,6,4
Kolkata Knight Riders,SC Ganguly,WP Saha,1,3,5,13,3,10
Kolkata Knight Riders,SC Ganguly,DJ Hussey,13,27,47,53,14,26
Kolkata Knight Riders,DJ Hussey,Mohammad Hafeez,6,8,20,21,13,13
Kolkata Knight Riders,LR Shukla,DJ Hussey,4,6,24,15,18,9
Mumbai Indians,ST Jayasuriya,L Ronchi,1,1,9,11,8,10
Mumbai Indians,ST Jayasuriya,DJ Thornely,6,6,11,11,0,5
Mumbai Indians,ST Jayasuriya,RV Uthappa,22,9,26,12,3,3
Mumbai Indians,RV Uthappa,PR Shah,30,24,51,47,19,23
Mumbai Indians,RV Uthappa,AM Nayar,15,11,28,20,10,9
Mumbai Indians,SM Pollock,AM Nayar,17,7,27,12,10,5
Mumbai Indians,SM Pollock,Harbhajan Singh,11,5,13,7,2,2
Royal Challengers Bangalore,S Chanderpaul,R Dravid,16,11,37,30,20,19
Royal Challengers Bangalore,R Dravid,LRPL Taylor,12,14,31,23,18,9
Royal Challengers Bangalore,JH Kallis,LRPL Taylor,3,4,8,7,5,3
Royal Challengers Bangalore,JH Kallis,V Kohli,6,7,30,21,23,14
Royal Challengers Bangalore,JH Kallis,MV Boucher,16,13,55,31,38,18
Royal Challengers Bangalore,MV Boucher,B Akhil,1,1,5,6,3,5
Kings XI Punjab,JR Hopes,K Goel,8,8,34,29,26,21
Kings XI Punjab,JR Hopes,KC Sangakkara,2,2,22,10,20,8
Kings XI Punjab,DPMD Jayawardene,JR Hopes,2,4,8,6,5,2
Kings XI Punjab,Yuvraj Singh,JR Hopes,6,4,9,8,1,4
Kings XI Punjab,Yuvraj Singh,IK Pathan,51,30,63,47,12,17
Kings XI Punjab,IK Pathan,S Sohal,0,2,0,3,0,1
Kings XI Punjab,B Lee,S Sohal,0,2,0,2,0,0
Kings XI Punjab,PP Chawla,S Sohal,9,5,13,8,4,3
Kings XI Punjab,WA Mota,PP Chawla,1,1,17,7,15,6
Rajasthan Royals,M Kaif,Kamran Akmal,5,8,6,7,0,0
Rajasthan Royals,Kamran Akmal,YK Pathan,4,4,13,9,7,5
Rajasthan Royals,Kamran Akmal,SR Watson,11,6,29,15,14,9
Rajasthan Royals,DS Lehmann,SR Watson,17,16,51,39,32,23
Rajasthan Royals,SR Watson,RA Jadeja,30,17,69,42,36,25
Deccan Chargers,AC Gilchrist,Y Venugopal Rao,8,9,9,12,0,3
Deccan Chargers,VVS Laxman,Y Venugopal Rao,2,6,14,19,12,13
Deccan Chargers,A Symonds,Y Venugopal Rao,11,11,13,17,2,6
Deccan Chargers,A Symonds,RG Sharma,1,2,9,8,7,6
Deccan Chargers,Shahid Afridi,RG Sharma,2,7,15,17,13,10
Deccan Chargers,SB Bangar,RG Sharma,8,14,22,24,13,10
Deccan Chargers,AS Yadav,RG Sharma,8,5,41,15,33,10
Deccan Chargers,WPUJC Vaas,AS Yadav,1,2,6,4,4,2
Deccan Chargers,WPUJC Vaas,RP Singh,11,4,13,5,1,1
Delhi Daredevils,G Gambhir,V Sehwag,12,9,31,21,19,12
Delhi Daredevils,V Sehwag,S Dhawan,75,29,107,57,25,28
Chennai Super Kings,ML Hayden,PA Patel,15,8,34,19,14,11
Chennai Super Kings,ML Hayden,MEK Hussey,0,0,5,9,5,9
Chennai Super Kings,ML Hayden,SK Raina,41,26,104,63,53,37
Chennai Super Kings,ML Hayden,MS Dhoni,25,12,51,25,24,13
Chennai Super Kings,MS Dhoni,JDP Oram,6,3,12,5,5,2
Chennai Super Kings,S Badrinath,JDP Oram,2,1,2,1,0,0
Mumbai Indians,ST Jayasuriya,L Ronchi,5,3,9,6,2,3
Mumbai Indians,ST Jayasuriya,RV Uthappa,15,8,21,16,2,8
Mumbai Indians,SM Pollock,RV Uthappa,8,9,51,37,41,28
Mumbai Indians,SM Pollock,DJ Bravo,9,6,16,12,4,6
Mumbai Indians,DJ Bravo,AM Nayar,20,10,33,16,12,6
Mumbai Indians,MA Khote,AM Nayar,9,5,11,7,2,2
Mumbai Indians,Harbhajan Singh,AM Nayar,28,14,48,20,20,6
Mumbai Indians,A Nehra,AM Nayar,1,2,13,8,11,6
Deccan Chargers,VVS Laxman,AC Gilchrist,9,5,22,14,13,9
Deccan Chargers,VVS Laxman,Shahid Afridi,0,0,10,4,10,4
Deccan Chargers,VVS Laxman,A Symonds,7,11,43,33,35,22
Deccan Chargers,A Symonds,RG Sharma,73,28,111,58,36,30
Deccan Chargers,A Symonds,AS Yadav,9,3,28,12,16,9
Rajasthan Royals,Kamran Akmal,GC Smith,12,9,14,13,0,4
Rajasthan Royals,GC Smith,YK Pathan,36,16,98,44,61,28
Rajasthan Royals,SR Watson,GC Smith,4,6,14,15,10,9
Rajasthan Royals,M Kaif,GC Smith,34,16,60,31,25,15
Rajasthan Royals,GC Smith,RA Jadeja,0,1,1,1,0,0
Rajasthan Royals,SK Warne,RA Jadeja,5,4,8,7,1,3
Rajasthan Royals,SK Warne,D Salunkhe,0,1,1,2,1,1
Rajasthan Royals,SK Warne,Pankaj Singh,17,4,21,7,4,3
Kings XI Punjab,IK Pathan,K Goel,6,3,8,10,2,7
Kings XI Punjab,KC Sangakkara,K Goel,54,25,73,39,16,14
Kings XI Punjab,Yuvraj Singh,KC Sangakkara,18,9,26,17,8,8
Kings XI Punjab,RR Sarwan,KC Sangakkara,7,9,14,17,7,8
Kings XI Punjab,DPMD Jayawardene,KC Sangakkara,12,7,31,17,19,10
Kings XI Punjab,KC Sangakkara,S Sohal,3,2,3,6,0,4
Kings XI Punjab,B Lee,KC Sangakkara,0,2,4,5,3,3
Kings XI Punjab,B Lee,PP Chawla,8,3,10,4,0,1
Kings XI Punjab,B Lee,S Sreesanth,1,1,1,2,0,1
Kings XI Punjab,B Lee,VRV Singh,7,2,12,4,4,2
Mumbai Indians,ST Jayasuriya,L Ronchi,1,7,14,15,11,8
Mumbai Indians,RV Uthappa,L Ronchi,0,1,0,1,0,0
Mumbai Indians,RV Uthappa,DJ Bravo,21,16,47,37,23,21
Mumbai Indians,RV Uthappa,SS Tiwary,0,1,4,3,4,2
Mumbai Indians,SM Pollock,SS Tiwary,13,11,26,19,13,8
Mumbai Indians,SM Pollock,AM Nayar,1,2,3,5,2,3
Mumbai Indians,SM Pollock,Harbhajan Singh,0,0,0,1,0,1
Mumbai Indians,SM Pollock,MA Khote,8,8,11,12,3,4
Mumbai Indians,MA Khote,DS Kulkarni,5,3,5,12,0,9
Mumbai Indians,A Nehra,DS Kulkarni,2,10,6,17,2,7
Kolkata Knight Riders,SC Ganguly,BB McCullum,7,4,32,16,24,12
Kolkata Knight Riders,SC Ganguly,RT Ponting,0,0,0,1,0,1
Kolkata Knight Riders,SC Ganguly,WP Saha,2,3,29,19,27,16
Kolkata Knight Riders,SC Ganguly,DJ Hussey,2,7,3,9,0,2
Kolkata Knight Riders,SC Ganguly,Mohammad Hafeez,1,5,6,13,4,8
Kolkata Knight Riders,LR Shukla,Mohammad Hafeez,15,15,28,31,12,16
Kolkata Knight Riders,AB Agarkar,LR Shukla,11,9,23,17,9,8
Kolkata Knight Riders,M Kartik,LR Shukla,3,3,6,6,3,3
Kolkata Knight Riders,LR Shukla,I Sharma,15,7,18,9,2,2
Kolkata Knight Riders,AB Dinda,I Sharma,0,0,2,1,2,1
Chennai Super Kings,ML Hayden,PA Patel,34,24,66,51,21,27
Chennai Super Kings,ML Hayden,MS Dhoni,36,25,86,52,43,27
Royal Challengers Bangalore,S Chanderpaul,R Dravid,1,1,1,2,0,1
Royal Challengers Bangalore,S Chanderpaul,LRPL Taylor,1,8,15,12,12,4
Royal Challengers Bangalore,JH Kallis,LRPL Taylor,11,10,43,25,32,15
Royal Challengers Bangalore,LRPL Taylor,V Kohli,0,1,6,5,4,4
Royal Challengers Bangalore,MV Boucher,V Kohli,3,4,12,14,9,10
Royal Challengers Bangalore,MV Boucher,P Kumar,1,6,1,12,0,6
Royal Challengers Bangalore,SB Joshi,P Kumar,3,8,12,14,9,6
Royal Challengers Bangalore,Z Khan,P Kumar,15,14,41,32,25,18
Royal Challengers Bangalore,Z Khan,R Vinay Kumar,2,4,4,5,1,1
Rajasthan Royals,GC Smith,M Rawat,1,2,1,4,0,2
Rajasthan Royals,GC Smith,YK Pathan,4,4,25,16,21,12
Rajasthan Royals,SR Watson,GC Smith,57,40,104,76,44,36
Rajasthan Royals,M Kaif,SR Watson,4,6,8,7,4,1
Delhi Daredevils,G Gambhir,V Sehwag,3,4,11,10,6,6
Delhi Daredevils,G Gambhir,S Dhawan,1,2,1,5,0,3
Delhi Daredevils,G Gambhir,Shoaib Malik,14,8,33,21,17,13
Delhi Daredevils,Shoaib Malik,MK Tiwary,2,4,9,7,5,3
Delhi Daredevils,KD Karthik,MK Tiwary,24,14,34,29,10,15
Delhi Daredevils,R Bhatia,MK Tiwary,17,15,37,27,15,12
Delhi Daredevils,MF Maharoof,MK Tiwary,5,4,14,8,9,4
Delhi Daredevils,MF Maharoof,VY Mahesh,13,8,19,13,6,5
Kings XI Punjab,SM Katich,K Goel,0,3,2,6,1,3
Kings XI Punjab,SM Katich,KC Sangakkara,5,4,9,6,4,2
Kings XI Punjab,SM Katich,DPMD Jayawardene,40,21,58,35,15,14
Kings XI Punjab,SM Katich,Yuvraj Singh,30,24,50,38,17,14
Kings XI Punjab,Yuvraj Singh,TM Srivastava,15,7,22,16,7,9
Kings XI Punjab,Yuvraj Singh,IK Pathan,2,2,14,9,10,7
Kings XI Punjab,B Lee,Yuvraj Singh,1,3,7,9,6,6
